CNN,Active,X,Y,GISObjectID,Latitude,Longitude,DateInsert,DateUpdate,streetname,cross_street
24539000,1,6013310.723,2114345.502,303681,37.7863386,-122.3977045,00:00.0,00:00.0,02ND ST,TEHAMA ST
24535000,1,6013443.757,2114206.367,303678,37.78596398,-122.3972345,00:00.0,00:00.0,02ND ST,CLEMENTINA ST
24519000,1,6013593.564,2114049.69,303663,37.78554212,-122.3967052,00:00.0,00:00.0,02ND ST,FOLSOM ST
24511000,1,6013822.68,2113810.067,303658,37.78489692,-122.3958957,00:00.0,00:00.0,02ND ST,DOW PL
24510000,1,6014030.741,2113592.463,303657,37.784311,-122.3951606,00:00.0,00:00.0,02ND ST,HARRISON ST
24492000,1,6014316.637,2113292.584,303642,37.7835035,-122.3941505,00:00.0,00:00.0,02ND ST,STILLMAN ST
24490000,1,6014467.338,2113134.512,303640,37.78307784,-122.3936181,00:00.0,00:00.0,02ND ST,BRYANT ST
24489000,1,6014558.154,2113039.255,303639,37.78282133,-122.3932972,00:00.0,00:00.0,02ND ST,TABER PL
24486000,1,6014618.936,2112975.5,303638,37.78264965,-122.3930825,00:00.0,00:00.0,02ND ST,FEDERAL ST
24484000,1,6014687.112,2112903.989,303637,37.78245709,-122.3928416,00:00.0,00:00.0,02ND ST,SOUTH PARK
24483000,1,6014751.92,2112836.012,303636,37.78227404,-122.3926126,00:00.0,00:00.0,02ND ST,DE BOOM ST
23803000,1,6014903.406,2112677.116,303065,37.78184616,-122.3920774,00:00.0,00:00.0,02ND ST,BRANNAN ST
23800000,1,6015342.203,2112216.858,303063,37.78060674,-122.3905272,00:00.0,00:00.0,02ND ST,TOWNSEND ST
23589000,1,6015607.326,2111940.005,302879,37.77986127,-122.3895907,00:00.0,00:00.0,02ND ST,KING ST
51402000,1,5994885.637,2115053.667,308854,37.78723978,-122.4615015,00:00.0,00:00.0,03RD AVE,END
27584000,1,5994891.256,2114899.225,306221,37.78681605,-122.4614708,00:00.0,00:00.0,03RD AVE,LAKE ST
27583000,1,5994909.993,2114384.24,306220,37.78540312,-122.4613687,00:00.0,00:00.0,03RD AVE,CALIFORNIA ST
27582000,1,5994915.911,2114221.59,306219,37.78495687,-122.4613364,00:00.0,00:00.0,03RD AVE,CORNWALL ST
27247000,1,5994938.894,2113540.255,305894,37.78308743,-122.4612075,00:00.0,00:00.0,03RD AVE,CLEMENT ST
27245000,1,5994965.983,2112837.805,305892,37.78116025,-122.4610628,00:00.0,00:00.0,03RD AVE,GEARY BLVD
27236000,1,5994989.305,2112136.017,305883,37.77923467,-122.4609313,00:00.0,00:00.0,03RD AVE,ANZA ST
27235000,1,5995014.145,2111460.138,305882,37.77738031,-122.4607963,00:00.0,00:00.0,03RD AVE,BALBOA ST
27234000,1,5995039.106,2110780.969,305881,37.77551693,-122.4606608,00:00.0,00:00.0,03RD AVE,CABRILLO ST
27233000,1,5995059.009,2110239.418,305880,37.77403112,-122.4605527,00:00.0,00:00.0,03RD AVE,FULTON ST
33560000,1,5995179.926,2107438.987,307329,37.76634883,-122.4599315,00:00.0,00:00.0,03RD AVE,KEZAR DR \ LINCOLN WAY
27193000,1,5995153.986,2107372.863,305844,37.76616577,-122.4600164,00:00.0,00:00.0,03RD AVE,LINCOLN WAY
27081000,1,5995165.384,2107041.564,305743,37.76525677,-122.459953,00:00.0,00:00.0,03RD AVE,HUGO ST
27079000,1,5995177.144,2106699.716,305741,37.76431882,-122.4598876,00:00.0,00:00.0,03RD AVE,IRVING ST
27065000,1,5995194.609,2106192.057,305730,37.76292592,-122.4597904,00:00.0,00:00.0,03RD AVE,PARNASSUS AVE
30738000,1,6011665.941,2114853.543,306766,37.78764184,-122.4034308,00:00.0,00:00.0,03RD ST,KEARNY ST \ MARKET ST
24639000,1,6011777.688,2114626.404,303756,37.7870244,-122.4030282,00:00.0,00:00.0,03RD ST,STEVENSON ST
24616000,1,6011905.993,2114497.706,303741,37.78667819,-122.4025752,00:00.0,00:00.0,03RD ST,JESSIE ST
24613000,1,6012061.659,2114337.916,303738,37.78624814,-122.4020254,00:00.0,00:00.0,03RD ST,MISSION ST
24609000,1,6012213.3,2114182.258,303734,37.7858292,-122.4014898,00:00.0,00:00.0,03RD ST,MINNA ST
24590000,1,6012502.481,2113885.416,303718,37.78503027,-122.4004685,00:00.0,00:00.0,03RD ST,HOWARD ST
24587000,1,6012787.871,2113582.201,303716,37.78421363,-122.3994598,00:00.0,00:00.0,03RD ST,CLEMENTINA ST
24583000,1,6012937.688,2113423.027,303712,37.78378492,-122.3989303,00:00.0,00:00.0,03RD ST,FOLSOM ST
24592000,1,6013217.162,2113130.721,303719,37.78299788,-122.3979429,00:00.0,00:00.0,03RD ST,SAINT FRANCIS PL
24513000,1,6013374.933,2112965.707,303660,37.78255358,-122.3973855,00:00.0,00:00.0,03RD ST,HARRISON ST
20657000,1,6013528.938,2112804.352,300473,37.78211911,-122.3968414,00:00.0,00:00.0,03RD ST,PERRY ST
23838000,1,6013659.678,2112667.372,303097,37.78175027,-122.3963795,00:00.0,00:00.0,03RD ST,STILLMAN ST
23831000,1,6013811.389,2112508.048,303090,37.78132124,-122.3958435,00:00.0,00:00.0,03RD ST,BRYANT ST
23830000,1,6013903.598,2112411.811,303089,37.78106213,-122.3955178,00:00.0,00:00.0,03RD ST,TABER PL
28061000,1,6014031.764,2112277.529,306637,37.78070055,-122.395065,00:00.0,00:00.0,03RD ST,SOUTH PARK
23817000,1,6014154.464,2112148.972,303078,37.78035438,-122.3946315,00:00.0,00:00.0,03RD ST,VARNEY PL
23811000,1,6014248.276,2112050.683,303072,37.78008972,-122.3943,00:00.0,00:00.0,03RD ST,BRANNAN ST
23807000,1,6014687.093,2111590.923,303069,37.7788517,-122.3927498,00:00.0,00:00.0,03RD ST,TOWNSEND ST
23799000,1,6014944.478,2111321.305,303062,37.77812568,-122.3918405,00:00.0,00:00.0,03RD ST,KING ST
23796000,1,6015148.053,2111108.717,303059,37.77755326,-122.3911214,00:00.0,00:00.0,03RD ST,BERRY ST
23586000,1,6015403.987,2110801.323,302878,37.77672343,-122.3902146,00:00.0,00:00.0,03RD ST,CHANNEL ST
30021000,1,6015455.639,2110646.117,306687,37.77630013,-122.390025,00:00.0,00:00.0,03RD ST,TERRY A FRANCOIS BLVD
34155000,1,6015489.024,2110008.474,307647,37.77455116,-122.389865,00:00.0,00:00.0,03RD ST,CHANNEL
23579000,1,6015519.953,2109417.716,302874,37.77293078,-122.3897167,00:00.0,00:00.0,03RD ST,MISSION ROCK ST
34157000,1,6015543.512,2109077.498,307649,37.77199792,-122.3896115,00:00.0,00:00.0,03RD ST,CHINA BASIN ST
34159000,1,6015561.512,2108753.735,307651,37.77110994,-122.3895266,00:00.0,00:00.0,03RD ST,MISSION BAY BLVD
34161000,1,6015570.699,2108588.49,307653,37.77065672,-122.3894833,00:00.0,00:00.0,03RD ST,MISSION BAY BLVD
34162000,1,6015607.933,2107918.785,307654,37.76881992,-122.3893077,00:00.0,00:00.0,03RD ST,WARRIORS WAY
23578000,1,6015654.134,2107219.888,302873,37.76690347,-122.3890991,00:00.0,00:00.0,03RD ST,16TH ST
54090000,1,6015568.881,2108260.899,309796,37.76975713,-122.3894667,00:00.0,00:00.0,03RD ST,NELSON RISING LN
54091000,1,6015607.046,2107574.45,309797,37.76787441,-122.3892867,00:00.0,00:00.0,03RD ST,CAMPUS WAY
23572000,1,6015706.781,2106278.603,302869,37.76432182,-122.3888513,00:00.0,00:00.0,03RD ST,MARIPOSA ST
23570000,1,6015730.162,2105814.309,302867,37.76304826,-122.388738,00:00.0,00:00.0,03RD ST,18TH ST
23567000,1,6015736.345,2105347.347,302864,37.76176643,-122.388684,00:00.0,00:00.0,03RD ST,19TH ST
23564000,1,6015763.857,2104882.285,302861,37.760491,-122.3885564,00:00.0,00:00.0,03RD ST,20TH ST
23555000,1,6015814.729,2103952.088,302854,37.75793969,-122.3883155,00:00.0,00:00.0,03RD ST,22ND ST
23551000,1,6015886.873,2103022.003,302851,37.75538987,-122.3880011,00:00.0,00:00.0,03RD ST,23RD ST
23550000,1,6015912.89,2102556.133,302850,37.75411213,-122.3878786,00:00.0,00:00.0,03RD ST,24TH ST
23541000,1,6015938.882,2102090.702,302842,37.7528356,-122.3877563,00:00.0,00:00.0,03RD ST,25TH ST
23536000,1,6015964.863,2101625.464,302837,37.75155959,-122.387634,00:00.0,00:00.0,03RD ST,26TH ST
23535000,1,6015969.423,2101153.294,302836,37.75026336,-122.3875853,00:00.0,00:00.0,03RD ST,CESAR CHAVEZ ST
20250000,1,6015997.457,2100694.348,300154,37.74900474,-122.3874563,00:00.0,00:00.0,03RD ST,MARIN ST
20247000,1,6016058.092,2099656.036,300153,37.74615711,-122.3871742,00:00.0,00:00.0,03RD ST,ARTHUR AVE \ CARGO WAY
20234000,1,6016063.324,2099260.166,300141,37.74507043,-122.3871285,00:00.0,00:00.0,03RD ST,BURKE AVE
20240000,1,6015986.808,2098966.336,300146,37.74425939,-122.3873726,00:00.0,00:00.0,03RD ST,CUSTER AVE
20244000,1,6015907.187,2098701.543,300150,37.74352791,-122.3876295,00:00.0,00:00.0,03RD ST,DAVIDSON AVE
20245000,1,6015946.004,2098895.294,300151,37.74406207,-122.3875087,00:00.0,00:00.0,03RD ST,PHELPS ST
20239000,1,6015815.3,2098403.019,300145,37.74270314,-122.3879264,00:00.0,00:00.0,03RD ST,EVANS AVE
20238000,1,6015730.112,2098108.252,300144,37.74188905,-122.3882003,00:00.0,00:00.0,03RD ST,FAIRFAX AVE
20231000,1,6015644.711,2097825.383,300139,37.74110762,-122.3884759,00:00.0,00:00.0,03RD ST,GALVEZ AVE
20227000,1,6015558.334,2097539.28,300135,37.74031725,-122.3887546,00:00.0,00:00.0,03RD ST,HUDSON AVE
20229000,1,6015472.673,2097255.549,300137,37.73953343,-122.389031,00:00.0,00:00.0,03RD ST,INNES AVE
20230000,1,6015445.747,2097102.845,300138,37.73911265,-122.3891134,00:00.0,00:00.0,03RD ST,NEWHALL ST
20219000,1,6015386.171,2096969.029,300128,37.73874192,-122.3893101,00:00.0,00:00.0,03RD ST,JERROLD AVE \ NEWHALL ST
20223000,1,6015300.213,2096684.315,300131,37.73795538,-122.3895874,00:00.0,00:00.0,03RD ST,KIRKWOOD AVE
20224000,1,6015214.329,2096399.843,300132,37.73716952,-122.3898645,00:00.0,00:00.0,03RD ST,LA SALLE AVE
20213000,1,6015127.477,2096117.768,300124,37.73639018,-122.3901451,00:00.0,00:00.0,03RD ST,MCKINNON AVE
20660000,1,6015043.185,2095828.235,300475,37.73559051,-122.3904163,00:00.0,00:00.0,03RD ST,NEWCOMB AVE
20659000,1,6014957.118,2095541.11,300474,37.73479735,-122.3906938,00:00.0,00:00.0,03RD ST,OAKDALE AVE
33269000,1,6014872.102,2095257.488,307119,37.73401386,-122.3909679,00:00.0,00:00.0,03RD ST,MENDELL ST \ PALOU AVE
20496000,1,6014786.312,2094971.287,300338,37.73322325,-122.3912445,00:00.0,00:00.0,03RD ST,QUESADA AVE
20498000,1,6014700.442,2094684.817,300340,37.73243189,-122.3915214,00:00.0,00:00.0,03RD ST,BAY VIEW ST \ REVERE AVE
20500000,1,6014614.897,2094399.43,300342,37.73164353,-122.3917972,00:00.0,00:00.0,03RD ST,SHAFTER AVE
20502000,1,6014529.352,2094114.044,300344,37.73085517,-122.392073,00:00.0,00:00.0,03RD ST,THOMAS AVE
20508000,1,6014506.485,2094036.917,300350,37.73064213,-122.3921466,00:00.0,00:00.0,03RD ST,THORNTON AVE
20507000,1,6014443.807,2093828.657,300349,37.7300668,-122.3923487,00:00.0,00:00.0,03RD ST,UNDERWOOD AVE
20504000,1,6014358.261,2093543.27,300346,37.72927844,-122.3926245,00:00.0,00:00.0,03RD ST,VAN DYKE AVE \ WILLIAMS AVE
33263000,1,6014332.366,2093391.441,307117,37.72886011,-122.3927034,00:00.0,00:00.0,03RD ST,LANE ST
20485000,1,6014272.971,2093257.693,300327,37.72848957,-122.3928994,00:00.0,00:00.0,03RD ST,LANE ST \ WALLACE AVE
20491000,1,6014171.012,2092984.386,300333,37.72773345,-122.3932328,00:00.0,00:00.0,03RD ST,YOSEMITE AVE
20493000,1,6014067.91,2092712.003,300335,37.72697982,-122.3935702,00:00.0,00:00.0,03RD ST,ARMSTRONG AVE
20517000,1,6013966.341,2092443.668,300357,37.72623738,-122.3939025,00:00.0,00:00.0,03RD ST,BANCROFT AVE
20489000,1,6013862.131,2092168.356,300331,37.72547564,-122.3942435,00:00.0,00:00.0,03RD ST,CARROLL AVE
20515000,1,6013772.905,2091885.176,300356,37.72469312,-122.3945321,00:00.0,00:00.0,03RD ST,DONNER AVE
20457000,1,6013653.655,2091625.163,300303,37.72397255,-122.3949262,00:00.0,00:00.0,03RD ST,EGBERT AVE
20455000,1,6013550.244,2091354.03,300301,37.72322232,-122.3952646,00:00.0,00:00.0,03RD ST,FITZGERALD AVE
34020000,1,6013506.144,2091183.695,307512,37.72275216,-122.3954052,00:00.0,00:00.0,03RD ST,KEITH ST
20472000,1,6013440.859,2091068.267,300315,37.72243159,-122.3956228,00:00.0,00:00.0,03RD ST,GILMAN AVE \ PAUL AVE
20471000,1,6013342.738,2090809.594,300314,37.72171587,-122.3959438,00:00.0,00:00.0,03RD ST,HOLLISTER AVE
20473000,1,6013242.179,2090544.187,300316,37.72098152,-122.3962728,00:00.0,00:00.0,03RD ST,INGERSON AVE
20460000,1,6013137.112,2090272.947,300306,37.7202309,-122.396617,00:00.0,00:00.0,03RD ST,HWY 101 S ON RAMP \ JAMESTOWN AVE
20475000,1,6013185.313,2090457.389,300317,37.72074002,-122.3964633,00:00.0,00:00.0,03RD ST,SALINAS AVE
20466000,1,6013033.999,2090000.314,300310,37.71947656,-122.3969544,00:00.0,00:00.0,03RD ST,KEY AVE
20467000,1,6012877.618,2089769.593,300311,37.71883434,-122.3974787,00:00.0,00:00.0,03RD ST,LE CONTE AVE
20465000,1,6012727.531,2089533.496,300309,37.71817771,-122.397981,00:00.0,00:00.0,03RD ST,BAY SHORE BLVD \ HWY 101 N OFF RAMP \ MEADE AVE
54373000,1,6012621.167,2089501.796,310049,37.71808475,-122.3983464,00:00.0,NULL,03RD ST,KEITH ST
51983000,1,6012713.819,2089543.4,309350,37.71820414,-122.3980291,00:00.0,00:00.0,03RD ST,END
20544000,1,6012593.2,2089376.837,300380,37.71774008,-122.3984343,00:00.0,00:00.0,03RD ST,BAY SHORE BLVD
33171000,1,6012538.361,2089314.527,307067,37.71756593,-122.3986195,00:00.0,00:00.0,03RD ST,NELSON AVE
33172000,1,6012375.599,2089086.62,307068,37.71693107,-122.3991661,00:00.0,00:00.0,03RD ST,OLNEY AVE
20546000,1,6012204.249,2088817.555,300381,37.71618272,-122.3997395,00:00.0,00:00.0,03RD ST,GIRARD ST \ SAN BRUNO AVE
34039000,1,6021603.97,2126417.643,307531,37.81994432,-122.3698462,00:00.0,00:00.0,03RD TI ST,AVENUE D
34038000,1,6022066.191,2126645.712,307530,37.8205959,-122.3682621,00:00.0,00:00.0,03RD TI ST,AVENUE F
34037000,1,6022378.352,2126828.961,307529,37.82111617,-122.3671942,00:00.0,00:00.0,03RD TI ST,AVENUE H
34036000,1,6022633.169,2126985.29,307528,37.82155937,-122.366323,00:00.0,00:00.0,03RD TI ST,AVENUE I
34035000,1,6023070.946,2127169.135,307527,37.82208813,-122.3648203,00:00.0,00:00.0,03RD TI ST,AVENUE M
34034000,1,6023557.555,2127377.827,307526,37.82268776,-122.3631503,00:00.0,00:00.0,03RD TI ST,AVENUE N
27588000,1,5994580.101,2114888.262,306225,37.78676804,-122.4625466,00:00.0,00:00.0,04TH AVE,LAKE ST
27587000,1,5994599.002,2114340.862,306224,37.78526611,-122.4624414,00:00.0,00:00.0,04TH AVE,CALIFORNIA ST
27585000,1,5994603.523,2114209.923,306222,37.78490685,-122.4624163,00:00.0,00:00.0,04TH AVE,CORNWALL ST
27250000,1,5994628.995,2113528.869,305897,37.78303832,-122.4622788,00:00.0,00:00.0,04TH AVE,CLEMENT ST
27248000,1,5994654.584,2112826.39,305895,37.78111098,-122.4621393,00:00.0,00:00.0,04TH AVE,GEARY BLVD
27242000,1,5994679.453,2112125.042,305889,37.7791867,-122.4620024,00:00.0,00:00.0,04TH AVE,ANZA ST
27241000,1,5994704.051,2111448.964,305888,37.77733178,-122.4618682,00:00.0,00:00.0,04TH AVE,BALBOA ST
27238000,1,5994728.775,2110769.429,305885,37.77546739,-122.4617334,00:00.0,00:00.0,04TH AVE,CABRILLO ST
27237000,1,5994749.623,2110196.414,305884,37.77389524,-122.4616198,00:00.0,00:00.0,04TH AVE,FULTON ST
27194000,1,5994843.825,2107377.648,305845,37.76616107,-122.4610895,00:00.0,00:00.0,04TH AVE,LINCOLN WAY
27082000,1,5994855.759,2107030.771,305744,37.76520932,-122.4610231,00:00.0,00:00.0,04TH AVE,HUGO ST
27080000,1,5994867.513,2106689.11,305742,37.76427189,-122.4609577,00:00.0,00:00.0,04TH AVE,IRVING ST
27072000,1,5994888.13,2106089.839,305735,37.76262763,-122.460843,00:00.0,00:00.0,04TH AVE,PARNASSUS AVE
24892000,1,6010958.418,2114176.749,303934,37.78574398,-122.405831,00:00.0,00:00.0,04TH ST,ELLIS ST \ MARKET ST \ STOCKTON ST
24636000,1,6011126.862,2113998.908,303755,37.78526508,-122.4052357,00:00.0,00:00.0,04TH ST,STEVENSON ST
24635000,1,6011251.531,2113866.425,303754,37.78490829,-122.4047951,00:00.0,00:00.0,04TH ST,JESSIE ST
24632000,1,6011400.955,2113706.941,303751,37.78447873,-122.4042669,00:00.0,00:00.0,04TH ST,MISSION ST
24631000,1,6011558.126,2113545.57,303750,37.78404442,-122.4037118,00:00.0,00:00.0,04TH ST,MINNA ST
24627000,1,6011842.28,2113253.822,303748,37.78325922,-122.4027082,00:00.0,00:00.0,04TH ST,HOWARD ST
24589000,1,6012128.695,2112954.277,303717,37.78245273,-122.4016962,00:00.0,00:00.0,04TH ST,CLEMENTINA ST
23938000,1,6012280.534,2112795.142,303176,37.78202425,-122.4011597,00:00.0,00:00.0,04TH ST,FOLSOM ST
23911000,1,6012435.251,2112632.99,303151,37.78158765,-122.4006131,00:00.0,00:00.0,04TH ST,SHIPLEY ST
23907000,1,6012566.417,2112495.52,303148,37.78121751,-122.4001496,00:00.0,00:00.0,04TH ST,CLARA ST
23906000,1,6012717.389,2112337.294,303147,37.78079147,-122.3996162,00:00.0,00:00.0,04TH ST,HARRISON ST \ I-80 W ON RAMP
23904000,1,6012869.267,2112178.118,303146,37.78036287,-122.3990796,00:00.0,00:00.0,04TH ST,PERRY ST
28064000,1,6013005.159,2112035.696,306638,37.77997939,-122.3985995,00:00.0,00:00.0,04TH ST,STILLMAN ST
23834000,1,6013158.021,2111882.367,303093,37.7795669,-122.3980599,00:00.0,00:00.0,04TH ST,BRYANT ST \ I-80 E OFF RAMP
23833000,1,6013305.361,2111721.067,303092,37.77913221,-122.3975389,00:00.0,00:00.0,04TH ST,WELSH ST
23832000,1,6013440.43,2111579.508,303091,37.77875104,-122.3970617,00:00.0,00:00.0,04TH ST,FREELON ST
23827000,1,6013590.754,2111421.961,303087,37.77832682,-122.3965306,00:00.0,00:00.0,04TH ST,BRANNAN ST
23822000,1,6013813.431,2111188.583,303083,37.77769841,-122.395744,00:00.0,00:00.0,04TH ST,BLUXOME ST
23821000,1,6014029.258,2110962.384,303082,37.77708932,-122.3949815,00:00.0,00:00.0,04TH ST,TOWNSEND ST
23798000,1,6014297.155,2110681.498,303061,37.77633296,-122.3940351,00:00.0,00:00.0,04TH ST,KING ST
23797000,1,6014489.609,2110478.876,303060,37.7757873,-122.3933551,00:00.0,00:00.0,04TH ST,BERRY ST
23792000,1,6014775.548,2110196.139,303057,37.77502685,-122.3923462,00:00.0,00:00.0,04TH ST,CHANNEL ST
50385000,1,6014898.607,2110067.456,308083,37.77468035,-122.3919115,00:00.0,00:00.0,04TH ST,END
34167000,1,6014976.162,2109937.396,307659,37.77432754,-122.3916341,00:00.0,00:00.0,04TH ST,CHANNEL
34168000,1,6015027.564,2109622.919,307660,37.77346691,-122.3914343,00:00.0,00:00.0,04TH ST,LONG BRIDGE ST
34169000,1,6015040.455,2109391.057,307661,37.77283098,-122.3913735,00:00.0,00:00.0,04TH ST,MISSION ROCK ST
34170000,1,6015059.384,2109050.582,307662,37.77189716,-122.3912842,00:00.0,00:00.0,04TH ST,CHINA BASIN ST
34171000,1,6015077.385,2108726.818,307663,37.77100918,-122.3911993,00:00.0,00:00.0,04TH ST,MISSION BAY BLVD
34172000,1,6015086.572,2108561.574,307664,37.77055596,-122.391156,00:00.0,00:00.0,04TH ST,MISSION BAY BLVD
54092000,1,6015104.723,2108235.093,309798,37.76966053,-122.3910704,00:00.0,00:00.0,04TH ST,NELSON RISING LN
54093000,1,6015123.809,2107891.813,309799,37.76871901,-122.3909804,00:00.0,00:00.0,04TH ST,GENE FRIEND WAY
54094000,1,6015142.888,2107548.644,309800,37.76777781,-122.3908904,00:00.0,00:00.0,04TH ST,CAMPUS WAY
23782000,1,6015162.66,2107193.017,303047,37.76680243,-122.3907972,00:00.0,00:00.0,04TH ST,16TH ST
54354000,1,6015171.347,2107036.766,310005,37.76637388,-122.3907562,00:00.0,00:00.0,04TH ST,END
54355000,1,6015185.896,2106540.158,310006,37.76501111,-122.3906712,00:00.0,00:00.0,04TH ST,END
23652000,1,6015137.71,2106246.003,302928,37.76420075,-122.3908173,00:00.0,00:00.0,04TH ST,MARIPOSA ST \ MINNESOTA ST
34043000,1,6020646.521,2126308.298,307535,37.81959151,-122.3731527,00:00.0,00:00.0,04TH TI ST,AVENUE B
34044000,1,6021073.864,2126526.683,307536,37.82021462,-122.3716887,00:00.0,00:00.0,04TH TI ST,AVENUE C
34045000,1,6021447.716,2126717.731,307537,37.82075972,-122.3704078,00:00.0,00:00.0,04TH TI ST,AVENUE D
34048000,1,6022234.709,2127111.452,307540,37.82188395,-122.3677109,00:00.0,00:00.0,04TH TI ST,AVENUE H
34049000,1,6022500.911,2127245.979,307541,37.82226791,-122.3667988,00:00.0,00:00.0,04TH TI ST,AVENUE I
34050000,1,6022922.948,2127459.259,307542,37.82287664,-122.3653526,00:00.0,00:00.0,04TH TI ST,AVENUE M
34051000,1,6023392.906,2127704.02,307543,37.82357441,-122.3637428,00:00.0,00:00.0,04TH TI ST,AVENUE N
51428000,1,5994244.247,2115593.053,308880,37.78868385,-122.4637597,00:00.0,00:00.0,05TH AVE,END
27595000,1,5994270.21,2114877.839,306228,37.78672157,-122.4636179,00:00.0,00:00.0,05TH AVE,LAKE ST
27594000,1,5994291.26,2114297.937,306227,37.78513052,-122.463503,00:00.0,00:00.0,05TH AVE,CALIFORNIA ST
27586000,1,5994294.895,2114197.807,306223,37.78485581,-122.4634832,00:00.0,00:00.0,05TH AVE,CORNWALL ST
27251000,1,5994318.96,2113517.477,305898,37.78298919,-122.4633505,00:00.0,00:00.0,05TH AVE,CLEMENT ST
27249000,1,5994344.708,2112818.02,305896,37.78107015,-122.4632107,00:00.0,00:00.0,05TH AVE,GEARY BLVD
27244000,1,5994368.817,2112114.039,305891,37.7791386,-122.4630762,00:00.0,00:00.0,05TH AVE,ANZA ST
27243000,1,5994393.764,2111437.602,305890,37.77728272,-122.4629408,00:00.0,00:00.0,05TH AVE,BALBOA ST
